CLAVEALUMNO,MEAN_IMPKDE_Z,VISITAS,n_student_classroom_observations,n_unique_classroom_units,n_unique_professors,n_unique_subject_variants,n_unique_years,mean_raw_grade_numeric,mean_impmean,mean_impkde,mean_impkde_z
178529,0.1756183691597307,116,4,4,4,3,3,9.666666666666666,8.406818181818181,7.25,0.1756183691597307
172458,0.7135368971482661,114,5,5,5,5,2,9.24,9.24,9.24,0.7135368971482661
175999,0.822596525951683,70,4,4,4,4,3,9.75,9.75,9.75,0.822596525951683
140079,1.0123038461715612,49,3,3,3,3,2,9.666666666666666,9.666666666666666,9.666666666666666,1.0123038461715612
177664,0.8958615790230235,49,4,4,3,4,2,9.925,9.925,9.925,0.8958615790230235
177167,0.31344131628363175,48,4,4,4,4,2,9.125,9.125,9.125,0.31344131628363175
173017,0.02135839687705306,44,3,3,3,3,3,8.3,6.933333333333334,7.033333333333334,0.02135839687705306
177968,0.3429669563671737,43,4,4,4,4,2,8.85,8.85,8.85,0.3429669563671737
167218,0.8304638062959937,42,4,4,2,4,3,9.675,9.675,9.675,0.8304638062959937
168834,0.7019910386531403,42,3,3,2,3,2,9.266666666666666,9.266666666666666,9.266666666666666,0.7019910386531403
170210,0.3869319187724444,39,3,3,3,3,2,9.033333333333333,9.033333333333333,9.033333333333333,0.3869319187724444
160273,0.3936859816851643,37,1,1,1,1,1,8.3,8.3,8.3,0.3936859816851643
178924,0.6415690826975872,37,3,3,2,3,2,9.5,9.5,9.5,0.6415690826975872
177219,0.3877652550624163,36,4,4,4,3,2,9.633333333333333,8.517307692307693,8.4,0.3877652550624163
178814,0.375035141125171,36,4,4,4,4,2,9.75,9.75,9.75,0.375035141125171
163553,-0.5573113733825449,35,6,6,6,3,2,5.55,5.55,5.55,-0.5573113733825449
163164,0.8382544271021497,34,3,3,2,3,1,10.0,10.0,10.0,0.8382544271021497
181849,0.21802493948048096,34,4,4,4,4,2,8.925,8.925,8.925,0.21802493948048096
165515,0.5823568878689506,33,4,4,4,4,2,9.350000000000001,9.350000000000001,9.350000000000001,0.5823568878689506
176907,0.7273314062606234,33,3,3,3,3,2,9.533333333333333,9.533333333333333,9.533333333333333,0.7273314062606234
179350,0.7121377621260162,33,3,3,3,3,2,10.0,10.0,10.0,0.7121377621260162
171462,-0.06038346451817759,32,5,5,4,4,3,9.025,8.67,8.6,-0.06038346451817759
174771,0.739153931401305,32,3,3,3,3,2,10.0,10.0,10.0,0.739153931401305
174945,0.6689602734866913,32,3,3,3,3,2,9.933333333333334,9.933333333333334,9.933333333333334,0.6689602734866913
177382,0.5862985711939529,30,3,3,3,3,2,9.333333333333334,9.333333333333334,9.333333333333334,0.5862985711939529
177860,0.70657740253104,30,3,3,3,3,2,10.0,10.0,10.0,0.70657740253104
178145,1.014738284094895,30,4,4,4,4,2,9.35,9.35,9.35,1.014738284094895
163292,1.012082448089815,29,2,2,2,2,1,9.75,9.75,9.75,1.012082448089815
164027,-0.5179831949019714,29,3,3,3,2,2,8.850000000000001,7.7,7.0,-0.5179831949019714
177089,-0.13454471761858897,29,3,3,3,3,2,9.7,8.18974358974359,6.466666666666666,-0.13454471761858897
177648,0.4029013834478584,29,4,4,3,4,2,9.4,9.4,9.4,0.4029013834478584
179942,-0.5467735641018335,29,4,4,4,4,2,7.325,7.325,7.325,-0.5467735641018335
165016,0.528572293313507,28,5,5,5,5,2,9.58,9.58,9.58,0.528572293313507
166234,0.6032874097471256,28,3,3,3,3,2,9.466666666666667,9.466666666666667,9.466666666666667,0.6032874097471256
171786,-0.01996111956135796,28,4,4,4,4,2,8.5,8.5,8.5,-0.01996111956135796
177195,0.8777247004887266,28,3,3,2,3,2,10.0,10.0,10.0,0.8777247004887266
178905,0.7315816249784586,28,4,4,4,4,2,9.7,9.7,9.7,0.7315816249784586
180755,0.17018318343004912,28,5,5,5,4,3,8.42,8.42,8.42,0.17018318343004912
166820,0.8073027788520992,27,3,3,3,3,2,9.733333333333333,9.733333333333333,9.733333333333333,0.8073027788520992
167815,-0.42374100884610044,27,6,6,6,4,3,8.25,7.865,7.036666666666666,-0.42374100884610044
178306,0.7930441646870717,27,5,5,4,5,2,9.92,9.92,9.92,0.7930441646870717
162843,-1.0277840970328305,26,3,3,3,2,2,8.05,7.585714285714286,6.7,-1.0277840970328305
163265,1.1254299882519534,26,3,3,3,3,2,9.733333333333333,9.733333333333333,9.733333333333333,1.1254299882519534
164099,0.27793368482903263,26,2,2,1,2,1,9.8,9.8,9.8,0.27793368482903263
169046,0.8174314686922081,26,3,3,3,3,2,9.833333333333334,9.833333333333334,9.833333333333334,0.8174314686922081
169923,0.049420942893362206,26,5,5,5,4,2,8.475,7.246666666666667,7.56,0.049420942893362206
169926,0.8214926073873636,26,3,3,3,3,2,10.0,10.0,10.0,0.8214926073873636
175308,0.5610213993838359,26,3,3,3,3,2,8.933333333333332,8.933333333333332,8.933333333333332,0.5610213993838359
177306,-0.12140080034670242,26,6,6,4,4,4,7.6499999999999995,7.6499999999999995,7.6499999999999995,-0.12140080034670242
178448,0.49198063106817597,26,3,3,3,3,2,9.25,7.491666666666667,8.4,0.49198063106817597
179413,0.4171335976728659,26,4,4,3,4,2,9.425,9.425,9.425,0.4171335976728659
166284,0.592701272803289,25,3,3,3,3,2,9.799999999999999,9.799999999999999,9.799999999999999,0.592701272803289
167804,0.19142330465349375,25,4,4,3,4,2,8.675,8.675,8.675,0.19142330465349375
177392,0.9383060945794055,25,3,3,3,3,2,9.866666666666667,9.866666666666667,9.866666666666667,0.9383060945794055
180621,0.3106907237981542,25,2,2,1,2,2,7.85,7.85,7.85,0.3106907237981542
168450,0.7204258926197618,24,2,2,2,2,2,9.15,9.15,9.15,0.7204258926197618
180196,0.951433654164503,24,2,2,2,2,2,9.95,9.95,9.95,0.951433654164503
165073,1.5043057444858596,23,2,2,2,2,1,9.7,9.7,9.7,1.5043057444858596
168446,-0.1774594952550387,23,5,5,5,4,3,8.5,7.618333333333334,7.859999999999999,-0.1774594952550387
175587,0.33416693969714856,23,5,5,5,5,2,9.36,9.36,9.36,0.33416693969714856
178070,0.8790900824963731,23,3,3,2,3,1,9.833333333333334,9.833333333333334,9.833333333333334,0.8790900824963731
178324,0.2737155171274883,23,4,4,4,3,2,9.566666666666666,8.467307692307692,7.175,0.2737155171274883
179911,-0.40212229208492284,23,2,2,2,2,2,7.2,7.2,7.2,-0.40212229208492284
164905,0.112541164679644,22,5,5,4,3,2,7.779999999999999,7.779999999999999,7.779999999999999,0.112541164679644
167191,0.298066329174801,22,4,4,2,4,2,9.725000000000001,9.725000000000001,9.725000000000001,0.298066329174801
171565,0.4816637221400015,22,4,4,4,4,2,9.4,9.4,9.4,0.4816637221400015
174345,0.8253616296707328,22,3,3,2,3,2,9.299999999999999,9.299999999999999,9.299999999999999,0.8253616296707328
176981,0.83056510179697,22,3,3,2,3,2,8.566666666666666,8.566666666666666,8.566666666666666,0.83056510179697
177004,0.6059907543802106,22,4,4,3,4,2,9.375,9.375,9.375,0.6059907543802106
166058,0.42162214317322927,21,3,3,3,3,2,9.0,9.0,9.0,0.42162214317322927
167122,0.27173163412273227,21,3,3,2,3,2,9.733333333333333,9.733333333333333,9.733333333333333,0.27173163412273227
168399,-0.14446916233893442,21,5,5,3,4,3,8.7,7.753333333333333,6.959999999999999,-0.14446916233893442
169568,0.5942645293818366,21,3,3,3,3,2,9.6,9.6,9.6,0.5942645293818366
178230,0.8395482649209468,21,4,4,4,4,2,9.975,9.975,9.975,0.8395482649209468
178325,-0.6065088974751424,21,3,3,3,2,2,9.350000000000001,7.0,6.233333333333334,-0.6065088974751424
181188,-0.1810856035069609,21,4,4,3,4,2,7.45,7.45,7.45,-0.1810856035069609
161635,1.2178537340649518,20,3,3,3,3,1,9.866666666666667,9.866666666666667,9.866666666666667,1.2178537340649518
177434,0.433512581369653,20,2,2,2,2,2,9.65,9.65,9.65,0.433512581369653
177444,0.40960190561981524,20,4,4,2,4,2,9.175,9.175,9.175,0.40960190561981524
178207,0.6316312331158128,20,4,4,3,4,2,9.725,9.725,9.725,0.6316312331158128
178604,0.3234031234362437,20,3,3,3,3,3,8.933333333333334,8.933333333333334,8.933333333333334,0.3234031234362437
179154,0.7576899420126654,20,3,3,3,3,2,10.0,10.0,10.0,0.7576899420126654
166060,1.0031115191457645,19,3,3,3,3,2,10.0,10.0,10.0,1.0031115191457645
166150,0.6281330565991289,19,4,4,4,4,2,9.725,9.725,9.725,0.6281330565991289
167490,-0.8129927030972228,19,4,4,4,4,2,8.566666666666666,6.458333333333333,6.425,-0.8129927030972228
168436,0.826382255251575,19,3,3,3,3,3,9.299999999999999,9.299999999999999,9.299999999999999,0.826382255251575
174012,0.5233605319293101,19,5,5,5,5,2,9.52,9.52,9.52,0.5233605319293101
180043,0.13832201939037875,19,3,3,3,3,2,8.966666666666667,8.966666666666667,8.966666666666667,0.13832201939037875
162820,-0.8321567811624385,18,7,7,7,4,4,5.0,5.029813664596274,5.214285714285714,-0.8321567811624385
163246,0.2639164098121069,18,5,5,4,3,2,8.3,8.3,8.3,0.2639164098121069
165408,0.868346367403957,18,3,3,3,3,2,9.0,9.0,9.0,0.868346367403957
167430,0.42069954487410444,18,5,5,5,5,2,9.24,9.24,9.24,0.42069954487410444
176697,0.8562380765264928,18,2,2,2,2,1,9.65,9.65,9.65,0.8562380765264928
