classroom_size,n_classroom_units,prop_classroom_units
4,1,0.0013003901170351106
7,1,0.0013003901170351106
8,2,0.002600780234070221
9,3,0.0039011703511053317
10,5,0.006501950585175552
11,4,0.005201560468140442
12,3,0.0039011703511053317
13,7,0.009102730819245773
14,13,0.016905071521456438
15,17,0.022106631989596878
16,17,0.022106631989596878
17,14,0.018205461638491547
18,10,0.013003901170351105
19,12,0.015604681404421327
20,23,0.02990897269180754
21,13,0.016905071521456438
22,12,0.015604681404421327
23,9,0.011703511053315995
24,13,0.016905071521456438
25,18,0.02340702210663199
26,24,0.031209362808842653
27,22,0.02860858257477243
28,81,0.10533159947984395
29,37,0.04811443433029909
30,86,0.11183355006501951
31,23,0.02990897269180754
32,33,0.04291287386215865
33,15,0.01950585175552666
34,18,0.02340702210663199
35,37,0.04811443433029909
36,16,0.02080624187256177
37,3,0.0039011703511053317
38,3,0.0039011703511053317
39,2,0.002600780234070221
40,6,0.007802340702210663
41,2,0.002600780234070221
42,2,0.002600780234070221
44,2,0.002600780234070221
45,1,0.0013003901170351106
46,1,0.0013003901170351106
47,4,0.005201560468140442
48,1,0.0013003901170351106
49,3,0.0039011703511053317
50,4,0.005201560468140442
51,4,0.005201560468140442
52,4,0.005201560468140442
53,5,0.006501950585175552
54,6,0.007802340702210663
55,9,0.011703511053315995
56,11,0.014304291287386216
57,7,0.009102730819245773
58,6,0.007802340702210663
59,7,0.009102730819245773
60,22,0.02860858257477243
61,9,0.011703511053315995
62,7,0.009102730819245773
63,4,0.005201560468140442
64,5,0.006501950585175552
65,5,0.006501950585175552
67,4,0.005201560468140442
68,4,0.005201560468140442
69,2,0.002600780234070221
70,5,0.006501950585175552
71,2,0.002600780234070221
72,1,0.0013003901170351106
75,3,0.0039011703511053317
76,1,0.0013003901170351106
80,1,0.0013003901170351106
83,1,0.0013003901170351106
84,1,0.0013003901170351106
85,2,0.002600780234070221
87,2,0.002600780234070221
89,1,0.0013003901170351106
90,1,0.0013003901170351106
93,1,0.0013003901170351106
95,1,0.0013003901170351106
106,1,0.0013003901170351106
107,1,0.0013003901170351106
