n_unique_classroom_units,n_students,prop_students
1,3625,0.3481225391337751
2,1738,0.1669067511764141
3,2401,0.2305771631614328
4,1852,0.17785460482089696
5,542,0.05205032171324306
6,147,0.014116969173148948
7,61,0.005858062037837319
8,28,0.0026889465091712284
9,13,0.0012484394506866417
10,2,0.00019206760779794487
11,2,0.00019206760779794487
12,1,9.603380389897244e-05
13,1,9.603380389897244e-05
