visits_k,student_count_exact_k,student_prop_exact_k,student_count_le_k,student_cum_prop_le_k,student_count_ge_k,student_tail_prop_ge_k,student_mean_visits_given_ge_k,student_continuation_prob_ge_k_plus_1_given_ge_k,student_hazard_prob_eq_k_given_ge_k
0,7488,0.7191011235955056,7488,0.7191011235955056,10413,1.0,1.2343224815134928,0.2808988764044944,0.7191011235955056
1,1045,0.1003553250744262,8533,0.8194564486699318,2925,0.2808988764044944,4.394188034188034,0.6427350427350428,0.3572649572649573
2,494,0.04744069912609238,9027,0.8668971477960242,1880,0.1805435513300682,6.280851063829787,0.7372340425531915,0.26276595744680853
3,350,0.033611831364640354,9377,0.9005089791606645,1386,0.1331028522039758,7.806637806637807,0.7474747474747475,0.25252525252525254
4,208,0.019975031210986267,9585,0.9204840103716508,1036,0.09949102083933545,9.430501930501931,0.7992277992277992,0.20077220077220076
5,145,0.013924901565351004,9730,0.9344089119370018,828,0.07951598962834917,10.794685990338165,0.8248792270531401,0.1751207729468599
6,124,0.011908191683472583,9854,0.9463171036204744,683,0.06559108806299818,12.02489019033675,0.8184480234260615,0.1815519765739385
7,106,0.010179583213291078,9960,0.9564966868337654,559,0.05368289637952559,13.361359570661897,0.8103756708407871,0.18962432915921287
8,76,0.007298569096321906,10036,0.9637952559300874,453,0.043503313166234514,14.849889624724062,0.8322295805739515,0.16777041942604856
9,52,0.004993757802746567,10088,0.968789013732834,377,0.03620474406991261,16.23076923076923,0.8620689655172413,0.13793103448275862
10,54,0.005185825410544511,10142,0.9739748391433785,325,0.031210986267166042,17.38769230769231,0.8338461538461538,0.16615384615384615
11,49,0.004705656391049649,10191,0.9786804955344282,271,0.02602516085662153,18.85977859778598,0.8191881918819188,0.18081180811808117
12,23,0.002208777489676366,10214,0.9808892730241044,222,0.021319504465571883,20.594594594594593,0.8963963963963963,0.1036036036036036
13,28,0.0026889465091712284,10242,0.9835782195332757,199,0.019110726975895515,21.587939698492463,0.8592964824120602,0.1407035175879397
14,26,0.0024968789013732834,10268,0.986075098434649,171,0.016421780466724288,22.994152046783626,0.847953216374269,0.15204678362573099
15,23,0.002208777489676366,10291,0.9882838759243253,145,0.013924901565351004,24.606896551724137,0.8413793103448276,0.15862068965517243
16,9,0.000864304235090752,10300,0.9891481801594161,122,0.011716124075674638,26.418032786885245,0.9262295081967213,0.07377049180327869
17,14,0.0013444732545856142,10314,0.9904926534140017,113,0.010851819840583886,27.24778761061947,0.8761061946902655,0.12389380530973451
18,11,0.0010563718428886967,10325,0.9915490252568904,99,0.00950734658599827,28.696969696969695,0.8888888888888888,0.1111111111111111
19,6,0.0005762028233938346,10331,0.9921252280802842,88,0.008450974743109574,30.03409090909091,0.9318181818181818,0.06818181818181818
20,6,0.0005762028233938346,10337,0.9927014309036781,82,0.00787477191971574,30.841463414634145,0.926829268292683,0.07317073170731707
21,7,0.0006722366272928071,10344,0.9933736675309709,76,0.007298569096321906,31.69736842105263,0.9078947368421053,0.09210526315789473
22,6,0.0005762028233938346,10350,0.9939498703543648,69,0.006626332469029098,32.78260869565217,0.9130434782608695,0.08695652173913043
23,6,0.0005762028233938346,10356,0.9945260731777585,63,0.006050129645635264,33.80952380952381,0.9047619047619048,0.09523809523809523
24,2,0.00019206760779794487,10358,0.9947181407855565,57,0.005473926822241429,34.94736842105263,0.9649122807017544,0.03508771929824561
25,4,0.00038413521559588974,10362,0.9951022760011524,55,0.0052818592144434845,35.345454545454544,0.9272727272727272,0.07272727272727272
26,10,0.0009603380389897244,10372,0.9960626140401422,51,0.004897723998847595,36.15686274509804,0.803921568627451,0.19607843137254902
27,3,0.0002881014116969173,10375,0.9963507154518391,41,0.00393738595985787,38.63414634146341,0.926829268292683,0.07317073170731707
28,6,0.0005762028233938346,10381,0.9969269182752328,38,0.003649284548160953,39.55263157894737,0.8421052631578947,0.15789473684210525
29,5,0.0004801690194948622,10386,0.9974070872947277,32,0.003073081724767118,41.71875,0.84375,0.15625
30,3,0.0002881014116969173,10389,0.9976951887064247,27,0.0025929127052722557,44.074074074074076,0.8888888888888888,0.1111111111111111
31,0,0.0,10389,0.9976951887064247,24,0.0023048112935753384,45.833333333333336,1.0,0.0
32,3,0.0002881014116969173,10392,0.9979832901181216,24,0.0023048112935753384,45.833333333333336,0.875,0.125
33,3,0.0002881014116969173,10395,0.9982713915298185,21,0.002016709881878421,47.80952380952381,0.8571428571428571,0.14285714285714285
34,2,0.00019206760779794487,10397,0.9984634591376165,18,0.001728608470181504,50.27777777777778,0.8888888888888888,0.1111111111111111
35,1,9.603380389897244e-05,10398,0.9985594929415154,16,0.001536540862383559,52.3125,0.9375,0.0625
36,2,0.00019206760779794487,10400,0.9987515605493134,15,0.0014405070584845865,53.46666666666667,0.8666666666666667,0.13333333333333333
37,2,0.00019206760779794487,10402,0.9989436281571114,13,0.0012484394506866417,56.15384615384615,0.8461538461538461,0.15384615384615385
38,0,0.0,10402,0.9989436281571114,11,0.0010563718428886967,59.63636363636363,1.0,0.0
39,1,9.603380389897244e-05,10403,0.9990396619610102,11,0.0010563718428886967,59.63636363636363,0.9090909090909091,0.09090909090909091
40,0,0.0,10403,0.9990396619610102,10,0.0009603380389897244,61.7,1.0,0.0
41,0,0.0,10403,0.9990396619610102,10,0.0009603380389897244,61.7,1.0,0.0
42,2,0.00019206760779794487,10405,0.9992317295688082,10,0.0009603380389897244,61.7,0.8,0.2
43,1,9.603380389897244e-05,10406,0.9993277633727072,8,0.0007682704311917795,66.625,0.875,0.125
44,1,9.603380389897244e-05,10407,0.9994237971766061,7,0.0006722366272928071,70.0,0.8571428571428571,0.14285714285714285
45,0,0.0,10407,0.9994237971766061,6,0.0005762028233938346,74.33333333333333,1.0,0.0
46,0,0.0,10407,0.9994237971766061,6,0.0005762028233938346,74.33333333333333,1.0,0.0
47,0,0.0,10407,0.9994237971766061,6,0.0005762028233938346,74.33333333333333,1.0,0.0
48,1,9.603380389897244e-05,10408,0.9995198309805051,6,0.0005762028233938346,74.33333333333333,0.8333333333333334,0.16666666666666666
49,2,0.00019206760779794487,10410,0.9997118985883031,5,0.0004801690194948622,79.6,0.6,0.4
50,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
51,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
52,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
53,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
54,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
55,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
56,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
57,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
58,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
59,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
60,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
61,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
62,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
63,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
64,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
65,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
66,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
67,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
68,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
69,0,0.0,10410,0.9997118985883031,3,0.0002881014116969173,100.0,1.0,0.0
70,1,9.603380389897244e-05,10411,0.999807932392202,3,0.0002881014116969173,100.0,0.6666666666666666,0.3333333333333333
71,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
72,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
73,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
74,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
75,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
76,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
77,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
78,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
79,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
80,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
81,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
82,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
83,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
84,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
85,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
86,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
87,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
88,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
89,0,0.0,10411,0.999807932392202,2,0.00019206760779794487,115.0,1.0,0.0
