CLASSROOM_UNIT_ID,professor_id,subject_variant,subject_name,year,session,n_student_classroom_observations,n_unique_students,n_unique_careers,mean_visits,median_visits,max_visits,mean_raw_grade_numeric,raw_grade_missing_count,raw_grade_non_missing_count,mean_impmean,mean_impkde,raw_grade_missing_prop,classroom_size
23839 | MAT1012 | 2019 | OTOÑO,23839,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,OTOÑO,84,84,25,1.7380952380952381,0.0,23,7.961666666666667,24,60,6.936904761904763,6.625,0.2857142857142857,84
22521 | MAT1022 | 2021 | PRIMAVERA,22521,MAT1022,CÁLCULO I,2021,PRIMAVERA,83,83,26,2.289156626506024,0.0,114,8.351724137931035,25,58,7.218340026773762,7.137349397590361,0.30120481927710846,83
23452 | MAT1032 | 2023 | PRIMAVERA,23452,MAT1032,ÁLGEBRA LINEAL,2023,PRIMAVERA,80,80,20,5.2375,2.0,48,9.055263157894737,4,76,8.925833333333333,8.6675,0.05,80
20566 | MAT2092 | 2019 | OTOÑO,20566,MAT2092,ESTADÍSTICA PARA CIENCIAS DE LA SALUD,2019,OTOÑO,76,76,1,0.17105263157894737,0.0,3,8.938356164383562,3,73,8.803947368421053,8.648684210526316,0.039473684210526314,76
23434 | MAT1012 | 2019 | PRIMAVERA,23434,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,PRIMAVERA,75,75,24,1.2133333333333334,0.0,18,7.395081967213115,14,61,6.98695652173913,6.784,0.18666666666666668,75
23859 | MAT2022 | 2020 | OTOÑO,23859,MAT2022,ESTADÍSTICA PARA NEGOCIOS I,2020,OTOÑO,75,75,7,2.6933333333333334,1.0,28,9.856164383561644,2,73,9.856164383561644,9.692,0.02666666666666667,75
23411 | MAT1022 | 2022 | PRIMAVERA,23411,MAT1022,CÁLCULO I,2022,PRIMAVERA,75,75,25,1.48,0.0,15,8.933823529411764,7,68,8.683333333333334,8.650666666666666,0.09333333333333334,75
21192 | MAT1032 | 2024 | PRIMAVERA,21192,MAT1032,ÁLGEBRA LINEAL,2024,PRIMAVERA,72,72,16,1.6666666666666667,0.0,26,9.58695652173913,3,69,9.291666666666666,9.291666666666666,0.041666666666666664,72
23162 | MAT1022 | 2021 | PRIMAVERA,23162,MAT1022,CÁLCULO I,2021,PRIMAVERA,71,71,18,2.211267605633803,1.0,17,9.573239436619719,0,71,9.573239436619719,9.573239436619719,0.0,71
23859 | MAT2022 | 2021 | OTOÑO,23859,MAT2022,ESTADÍSTICA PARA NEGOCIOS I,2021,OTOÑO,71,71,9,1.2816901408450705,0.0,14,9.568115942028987,2,69,9.419718309859155,9.469014084507041,0.028169014084507043,71
23824 | MAT2012 | 2021 | OTOÑO,23824,MAT2012,CÁLCULO II,2021,OTOÑO,70,70,20,1.042857142857143,0.0,10,8.921875,6,64,8.514285714285714,8.457142857142857,0.08571428571428572,70
23839 | MAT1012 | 2021 | OTOÑO,23839,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2021,OTOÑO,70,70,27,0.42857142857142855,0.0,4,8.2,6,64,7.946285714285715,7.89,0.08571428571428572,70
23885 | MAT1012 | 2021 | OTOÑO,23885,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2021,OTOÑO,70,70,20,0.6571428571428571,0.0,12,8.78688524590164,9,61,7.905714285714286,7.924285714285715,0.12857142857142856,70
23152 | MAT1012 | 2023 | PRIMAVERA,23152,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2023,PRIMAVERA,70,70,23,2.2714285714285714,0.0,26,7.915517241379311,12,58,7.460909090909091,7.055714285714285,0.17142857142857143,70
23852 | MAT1022 | 2024 | PRIMAVERA,23852,MAT1022,CÁLCULO I,2024,PRIMAVERA,70,70,21,1.6857142857142857,0.0,15,8.912857142857142,0,70,8.912857142857142,8.912857142857142,0.0,70
23218 | MAT1012 | 2021 | OTOÑO,23218,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2021,OTOÑO,69,69,29,0.9565217391304348,0.0,12,7.5875,5,64,7.281159420289855,7.095652173913043,0.07246376811594203,69
23836 | MAT1022 | 2024 | PRIMAVERA,23836,MAT1022,CÁLCULO I,2024,PRIMAVERA,69,69,17,1.6666666666666667,0.0,34,9.442424242424243,3,66,9.442424242424243,9.192753623188405,0.043478260869565216,69
23411 | MAT2012 | 2019 | OTOÑO,23411,MAT2012,CÁLCULO II,2019,OTOÑO,68,68,16,2.176470588235294,0.5,29,8.841071428571428,12,56,8.533823529411764,8.39264705882353,0.17647058823529413,68
23149 | MAT1012 | 2020 | OTOÑO,23149,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,68,68,18,1.4705882352941178,0.0,16,6.952272727272727,24,44,5.983088235294118,5.44264705882353,0.35294117647058826,68
23468 | MAT1012 | 2020 | OTOÑO,23468,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,68,68,27,1.588235294117647,0.0,39,7.913846153846153,3,65,7.759625668449197,7.622058823529411,0.04411764705882353,68
23837 | MAT1012 | 2021 | OTOÑO,23837,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2021,OTOÑO,68,68,22,1.9558823529411764,0.0,70,7.676666666666667,8,60,7.404901960784314,7.391176470588236,0.11764705882352941,68
