visits_k,student_count_ge_k,student_tail_prop_ge_k,student_mean_visits_given_ge_k,student_continuation_prob_ge_k_plus_1_given_ge_k,student_hazard_prob_eq_k_given_ge_k
0,10413,1.0,1.2343224815134928,0.2808988764044944,0.7191011235955056
1,2925,0.2808988764044944,4.394188034188034,0.6427350427350428,0.3572649572649573
2,1880,0.1805435513300682,6.280851063829787,0.7372340425531915,0.26276595744680853
3,1386,0.1331028522039758,7.806637806637807,0.7474747474747475,0.25252525252525254
4,1036,0.09949102083933545,9.430501930501931,0.7992277992277992,0.20077220077220076
5,828,0.07951598962834917,10.794685990338165,0.8248792270531401,0.1751207729468599
6,683,0.06559108806299818,12.02489019033675,0.8184480234260615,0.1815519765739385
7,559,0.05368289637952559,13.361359570661897,0.8103756708407871,0.18962432915921287
8,453,0.043503313166234514,14.849889624724062,0.8322295805739515,0.16777041942604856
9,377,0.03620474406991261,16.23076923076923,0.8620689655172413,0.13793103448275862
10,325,0.031210986267166042,17.38769230769231,0.8338461538461538,0.16615384615384615
11,271,0.02602516085662153,18.85977859778598,0.8191881918819188,0.18081180811808117
12,222,0.021319504465571883,20.594594594594593,0.8963963963963963,0.1036036036036036
13,199,0.019110726975895515,21.587939698492463,0.8592964824120602,0.1407035175879397
14,171,0.016421780466724288,22.994152046783626,0.847953216374269,0.15204678362573099
15,145,0.013924901565351004,24.606896551724137,0.8413793103448276,0.15862068965517243
16,122,0.011716124075674638,26.418032786885245,0.9262295081967213,0.07377049180327869
17,113,0.010851819840583886,27.24778761061947,0.8761061946902655,0.12389380530973451
18,99,0.00950734658599827,28.696969696969695,0.8888888888888888,0.1111111111111111
19,88,0.008450974743109574,30.03409090909091,0.9318181818181818,0.06818181818181818
20,82,0.00787477191971574,30.841463414634145,0.926829268292683,0.07317073170731707
21,76,0.007298569096321906,31.69736842105263,0.9078947368421053,0.09210526315789473
22,69,0.006626332469029098,32.78260869565217,0.9130434782608695,0.08695652173913043
23,63,0.006050129645635264,33.80952380952381,0.9047619047619048,0.09523809523809523
24,57,0.005473926822241429,34.94736842105263,0.9649122807017544,0.03508771929824561
25,55,0.0052818592144434845,35.345454545454544,0.9272727272727272,0.07272727272727272
26,51,0.004897723998847595,36.15686274509804,0.803921568627451,0.19607843137254902
27,41,0.00393738595985787,38.63414634146341,0.926829268292683,0.07317073170731707
28,38,0.003649284548160953,39.55263157894737,0.8421052631578947,0.15789473684210525
29,32,0.003073081724767118,41.71875,0.84375,0.15625
30,27,0.0025929127052722557,44.074074074074076,0.8888888888888888,0.1111111111111111
31,24,0.0023048112935753384,45.833333333333336,1.0,0.0
32,24,0.0023048112935753384,45.833333333333336,0.875,0.125
33,21,0.002016709881878421,47.80952380952381,0.8571428571428571,0.14285714285714285
34,18,0.001728608470181504,50.27777777777778,0.8888888888888888,0.1111111111111111
35,16,0.001536540862383559,52.3125,0.9375,0.0625
36,15,0.0014405070584845865,53.46666666666667,0.8666666666666667,0.13333333333333333
37,13,0.0012484394506866417,56.15384615384615,0.8461538461538461,0.15384615384615385
38,11,0.0010563718428886967,59.63636363636363,1.0,0.0
39,11,0.0010563718428886967,59.63636363636363,0.9090909090909091,0.09090909090909091
40,10,0.0009603380389897244,61.7,1.0,0.0
41,10,0.0009603380389897244,61.7,1.0,0.0
42,10,0.0009603380389897244,61.7,0.8,0.2
43,8,0.0007682704311917795,66.625,0.875,0.125
44,7,0.0006722366272928071,70.0,0.8571428571428571,0.14285714285714285
45,6,0.0005762028233938346,74.33333333333333,1.0,0.0
46,6,0.0005762028233938346,74.33333333333333,1.0,0.0
47,6,0.0005762028233938346,74.33333333333333,1.0,0.0
48,6,0.0005762028233938346,74.33333333333333,0.8333333333333334,0.16666666666666666
49,5,0.0004801690194948622,79.6,0.6,0.4
50,3,0.0002881014116969173,100.0,1.0,0.0
51,3,0.0002881014116969173,100.0,1.0,0.0
52,3,0.0002881014116969173,100.0,1.0,0.0
53,3,0.0002881014116969173,100.0,1.0,0.0
54,3,0.0002881014116969173,100.0,1.0,0.0
55,3,0.0002881014116969173,100.0,1.0,0.0
56,3,0.0002881014116969173,100.0,1.0,0.0
57,3,0.0002881014116969173,100.0,1.0,0.0
58,3,0.0002881014116969173,100.0,1.0,0.0
59,3,0.0002881014116969173,100.0,1.0,0.0
60,3,0.0002881014116969173,100.0,1.0,0.0
61,3,0.0002881014116969173,100.0,1.0,0.0
62,3,0.0002881014116969173,100.0,1.0,0.0
63,3,0.0002881014116969173,100.0,1.0,0.0
64,3,0.0002881014116969173,100.0,1.0,0.0
65,3,0.0002881014116969173,100.0,1.0,0.0
66,3,0.0002881014116969173,100.0,1.0,0.0
67,3,0.0002881014116969173,100.0,1.0,0.0
68,3,0.0002881014116969173,100.0,1.0,0.0
69,3,0.0002881014116969173,100.0,1.0,0.0
70,3,0.0002881014116969173,100.0,0.6666666666666666,0.3333333333333333
71,2,0.00019206760779794487,115.0,1.0,0.0
72,2,0.00019206760779794487,115.0,1.0,0.0
73,2,0.00019206760779794487,115.0,1.0,0.0
74,2,0.00019206760779794487,115.0,1.0,0.0
75,2,0.00019206760779794487,115.0,1.0,0.0
76,2,0.00019206760779794487,115.0,1.0,0.0
77,2,0.00019206760779794487,115.0,1.0,0.0
78,2,0.00019206760779794487,115.0,1.0,0.0
79,2,0.00019206760779794487,115.0,1.0,0.0
80,2,0.00019206760779794487,115.0,1.0,0.0
81,2,0.00019206760779794487,115.0,1.0,0.0
82,2,0.00019206760779794487,115.0,1.0,0.0
83,2,0.00019206760779794487,115.0,1.0,0.0
84,2,0.00019206760779794487,115.0,1.0,0.0
85,2,0.00019206760779794487,115.0,1.0,0.0
86,2,0.00019206760779794487,115.0,1.0,0.0
87,2,0.00019206760779794487,115.0,1.0,0.0
88,2,0.00019206760779794487,115.0,1.0,0.0
89,2,0.00019206760779794487,115.0,1.0,0.0
90,2,0.00019206760779794487,115.0,1.0,0.0
91,2,0.00019206760779794487,115.0,1.0,0.0
92,2,0.00019206760779794487,115.0,1.0,0.0
93,2,0.00019206760779794487,115.0,1.0,0.0
94,2,0.00019206760779794487,115.0,1.0,0.0
95,2,0.00019206760779794487,115.0,1.0,0.0
96,2,0.00019206760779794487,115.0,1.0,0.0
97,2,0.00019206760779794487,115.0,1.0,0.0
98,2,0.00019206760779794487,115.0,1.0,0.0
99,2,0.00019206760779794487,115.0,1.0,0.0
100,2,0.00019206760779794487,115.0,1.0,0.0
101,2,0.00019206760779794487,115.0,1.0,0.0
102,2,0.00019206760779794487,115.0,1.0,0.0
103,2,0.00019206760779794487,115.0,1.0,0.0
104,2,0.00019206760779794487,115.0,1.0,0.0
105,2,0.00019206760779794487,115.0,1.0,0.0
106,2,0.00019206760779794487,115.0,1.0,0.0
107,2,0.00019206760779794487,115.0,1.0,0.0
108,2,0.00019206760779794487,115.0,1.0,0.0
109,2,0.00019206760779794487,115.0,1.0,0.0
110,2,0.00019206760779794487,115.0,1.0,0.0
111,2,0.00019206760779794487,115.0,1.0,0.0
112,2,0.00019206760779794487,115.0,1.0,0.0
113,2,0.00019206760779794487,115.0,1.0,0.0
114,2,0.00019206760779794487,115.0,0.5,0.5
115,1,9.603380389897244e-05,116.0,1.0,0.0
116,1,9.603380389897244e-05,116.0,0.0,1.0
