visits_k,student_count_exact_k,student_prop_exact_k,student_count_le_k,student_cum_prop_le_k,student_count_ge_k,student_tail_prop_ge_k,student_mean_visits_given_ge_k,student_continuation_prob_ge_k_plus_1_given_ge_k,student_hazard_prob_eq_k_given_ge_k,threshold_label
0,7488,0.7191011235955056,7488,0.7191011235955056,10413,1.0,1.2343224815134928,0.2808988764044944,0.7191011235955056,k=0
1,1045,0.1003553250744262,8533,0.8194564486699318,2925,0.2808988764044944,4.394188034188034,0.6427350427350428,0.3572649572649573,k=1
2,494,0.04744069912609238,9027,0.8668971477960242,1880,0.1805435513300682,6.280851063829787,0.7372340425531915,0.26276595744680853,k=2
3,350,0.033611831364640354,9377,0.9005089791606645,1386,0.1331028522039758,7.806637806637807,0.7474747474747475,0.25252525252525254,k=3
4,208,0.019975031210986267,9585,0.9204840103716508,1036,0.09949102083933545,9.430501930501931,0.7992277992277992,0.20077220077220076,k=4
5,145,0.013924901565351004,9730,0.9344089119370018,828,0.07951598962834917,10.794685990338165,0.8248792270531401,0.1751207729468599,k=5
10,54,0.005185825410544511,10142,0.9739748391433785,325,0.031210986267166042,17.38769230769231,0.8338461538461538,0.16615384615384615,k=10
20,6,0.0005762028233938346,10337,0.9927014309036781,82,0.00787477191971574,30.841463414634145,0.926829268292683,0.07317073170731707,k=20
