analysis_unit,outcome_variable,comparison,group_left_label,group_right_label,n_total,n_left,n_right,prop_left,prop_right,mean_left,mean_right,median_left,median_right,std_left,std_right,q25_left,q25_right,q75_left,q75_right,mean_difference_right_minus_left
student,MEAN_IMPKDE_Z,eq_0_vs_ge_1,VISITAS == 0,VISITAS >= 1,10413,7488,2925,0.7191011235955056,0.2808988764044944,-0.14157834753554904,0.23372351431654126,0.1608070443985684,0.3795918089111331,0.9451532716264329,0.5951069750750269,-0.5829675735671966,-0.024078310526121083,0.5110801706445083,0.6404245644880651,0.3753018618520903
student,MEAN_IMPKDE_Z,le_1_vs_gt_1,VISITAS <= 1,VISITAS > 1,10413,8533,1880,0.8194564486699318,0.1805435513300682,-0.10589282948245286,0.28036496117205445,0.18257924074401952,0.405578478434238,0.9188483388966782,0.5588270187080979,-0.49483586744621616,0.04230601505417969,0.520896726282041,0.6632182377918329,0.3862577906545073
student,MEAN_IMPKDE_Z,le_2_vs_gt_2,VISITAS <= 2,VISITAS > 2,10413,9027,1386,0.8668971477960242,0.1331028522039758,-0.08957298557939801,0.31174455545087865,0.19276941437442274,0.43097114173069884,0.907501702779632,0.5327493081403528,-0.46793777154273886,0.07355630287816181,0.5267692875637227,0.6856463137261765,0.40131754103027667
student,MEAN_IMPKDE_Z,le_3_vs_gt_3,VISITAS <= 3,VISITAS > 3,10413,9377,1036,0.9005089791606645,0.09949102083933545,-0.0773925162818958,0.3370774500048543,0.2022757502563733,0.4376435945671612,0.8998495178948515,0.508638109797868,-0.44162307541622436,0.11400341630042288,0.5316062123080387,0.7035181060444867,0.4144699662867501
student_classroom_observation,IMPKDE_Z,eq_0_vs_ge_1,VISITAS == 0,VISITAS >= 1,26140,16890,9250,0.6461361897475134,0.3538638102524866,-0.1098785551765669,0.20063230237105018,0.24561184720386764,0.42580454643967847,1.0390762701390046,0.8421812781704704,-0.4691803019361416,0.00981611439071567,0.5653233736918042,0.6854959661100722,0.3105108575476171
student_classroom_observation,IMPKDE_Z,le_1_vs_gt_1,VISITAS <= 1,VISITAS > 1,26140,20017,6123,0.765761285386381,0.23423871461361898,-0.07583623283094328,0.2479199530584665,0.2670129562060554,0.4589926907125992,1.0203999745022223,0.8122059693620113,-0.4058909293834108,0.07905663673153424,0.5816817272222851,0.7118872742945704,0.3237561858894098
student_classroom_observation,IMPKDE_Z,le_2_vs_gt_2,VISITAS <= 2,VISITAS > 2,26140,21540,4600,0.8240244835501148,0.17597551644988524,-0.060444306370458944,0.2830370346129749,0.27562802400004927,0.48237499742370815,1.0133554141970096,0.781058527287381,-0.37372200929242105,0.11405748358155723,0.5855091951732315,0.7293134665844859,0.34348134098343386
student_classroom_observation,IMPKDE_Z,le_3_vs_gt_3,VISITAS <= 3,VISITAS > 3,26140,22603,3537,0.86469013006886,0.13530986993114003,-0.047759121327282994,0.30520198455204317,0.2840621593839473,0.4893880846914574,1.0070247311917773,0.7649929399771167,-0.35240286657168346,0.14374021367014148,0.5908018589846754,0.7432297246065649,0.35296110587932616
