variable,analysis_unit,total_count,non_missing_count,non_missing_prop,missing_count,missing_prop,mean,median,std,min,p25,p75,p90,p95,p99,max,skewness,note
CALIFICACION_NUM,student_classroom_observation,26140,22923,0.8769319051262433,3217,0.1230680948737567,8.601688260698861,9.1,1.8990062641335657,0.0,8.2,9.7,10.0,10.0,10.0,10.0,-2.897185103555336,Numeric projection of CALIFICACION. Non-numeric tokens are coerced to NaN.
IMPMEAN,student_classroom_observation,26140,25974,0.9936495791889824,166,0.0063504208110175975,8.13619558776728,8.9,2.2742529585437623,0.0,7.7,9.7,10.0,10.0,10.0,10.0,-1.883153960135948,Classroom-level mean imputation using observed numeric grades at or below 7.5.
IMPMEAN_Z,student_classroom_observation,26140,25975,0.9936878347360367,165,0.006312165263963275,-1.5643566006267845e-17,0.30682370154124006,0.9850464305384139,-7.603969636967854,-0.5028031285408407,0.660621448002287,0.9350874243805141,1.1056163474626381,1.436627970876502,2.8196332539512654,-1.407371991720544,Within-classroom Z-score of IMPMEAN.
IMPKDE,student_classroom_observation,26140,26140,1.0,0,0.0,7.967532517214996,8.9,2.621232987474303,0.0,7.7,9.7,10.0,10.0,10.0,10.0,-1.8859232125830498,"Classroom-level KDE imputation from observed grades at or below 7.4/7.5, following the existing pipeline."
IMPKDE_Z,student_classroom_observation,26140,26140,1.0,0,0.0,-3.509901712127886e-17,0.3197324935779646,0.9851997847448793,-7.603969636967854,-0.2728985433147522,0.6114396661984808,0.8457182077511278,0.9909864771491528,1.301299137837547,2.6268996335446864,-1.7770583872818826,Within-classroom Z-score of IMPKDE.
MEAN_IMPKDE_Z,student,10413,10413,1.0,0,0.0,-0.03615647622878209,0.23364960042063387,0.8776502848381645,-5.091394065700938,-0.3743169127611374,0.5535954941151763,0.7643408766671029,0.8724842562208152,1.1257081920727818,1.8778363627176164,-1.5707334565067645,Student-level mean of IMPKDE_Z across all student-classroom observations.
