id,carrera1,carrera2,carrera3
162000,LAR,,
162004,LHR,,
162007,LPA,,
162009,LII,,
162010,LBN,,
162014,LAD,,
162016,LPM,,
162017,LAT,,
162020,LNI,,
162021,LNI,,
162022,LEC,,
162023,LNI,,
162024,LIM,LII,
162025,LFP,,
162026,LNM,,
162030,LNI,,
162064,LIS,,
162066,LFB,,
162067,LQI,,
162072,LAD,,
162073,LIM,,
162076,LEC,,
162078,LMK,,
162082,LBM,,
162090,LAT,,
162092,LAD,,
162094,LCS,,
162098,LNI,,
162100,LNI,,
162101,LAR,,
162104,LIM,,
162105,LMK,,
162106,LIS,,
162107,LIS,,
162112,LFP,,
162118,LIC,,
162119,LMT,,
162120,LNI,,
162128,LIC,,
162129,LNI,,
162130,LRT,,
162131,LBM,,
162136,LAT,,
162137,LFP,,
162138,LBN,,
162140,LRP,,
162142,LAR,,
162143,LBC,,
162145,LII,LCS,
162146,LEA,,
162148,LIS,,
162150,LRI,,
162152,LAD,,
162153,LPM,,
162156,LDE,,
162158,LII,,
162159,LCS,,
162160,LMT,,
162162,LNA,,
162163,LAR,,
162164,BMK,,
162167,LAR,,
162168,LAR,,
162170,LFP,,
162173,LIM,,
162176,LIC,,
162180,LMK,,
162181,LFP,,
162190,LAR,,
162193,LCS,,
162194,LNI,,
162196,LCS,,
162199,LAT,,
162202,LAR,,
162203,LIV,,
162205,LFB,,
162207,LAR,,
162208,LPT,LRI,
162213,LBI,,
162225,LPT,LRI,
162226,LAR,,
162228,LBM,,
162229,LMK,,
162230,LPT,,
162232,LAD,,
162234,LNI,,
162236,LAT,,
162237,LIN,LQI,
162239,LFA,,
162241,LAR,,
162242,LEC,,
162246,LNI,,
162251,LHR,,
162257,LRI,,
162261,LAT,,
162262,LFP,,
162263,LEC,LNI,
162264,LRI,,
162278,LIY,,
162280,LII,,
162289,LAR,,
162290,LEF,,
162291,LII,,
162299,LIM,,
162302,LNM,,
162304,LBC,,
162305,LAR,,
162306,LII,LCS,
162308,LMK,,
162309,LMK,,
162311,LAD,LMK,
162313,LBM,,
162314,LBN,,
162328,LIS,,
162329,LAD,,
162330,LRI,,
162333,LNM,,
162334,LNI,,
162337,LBN,,
162344,LAR,,
162346,LEF,,
162347,LEF,,
162349,LEF,,
162350,LBN,,
162352,LEF,,
162356,LBI,,
162360,LBN,,
162361,LAT,,
162362,LEC,,
162363,LMK,LNI,
162367,LRP,,
162371,LPD,,
162374,LRI,LPT,
162375,LAT,,
162376,LMK,,
162382,LRP,,
162384,LBI,,
162387,LBM,,
162389,LMK,,
162390,LNI,,
162391,LMK,,
162392,LAD,,
162395,LNM,,
162396,LHR,,
162402,LRP,,
162404,LAD,,
162405,LRI,,
162406,LCS,,
162407,LAT,,
162408,LIC,,
162413,LRP,,
162416,LEC,,
162420,LRI,,
162421,LNI,,
162424,LBN,,
162425,LCS,LII,
162427,LEC,,
162430,LEF,,
162432,LPA,,
162433,LHR,,
162434,LAR,,
162435,LEF,,
162437,LEF,,
162438,LFB,,
162440,LBN,,
162441,LAT,,
162442,LIS,,
162444,LNI,,
162447,LIC,,
162450,LBC,,
162451,LEC,,
162453,LMK,,
162454,LFP,,
162455,LMT,,
162456,LPA,,
162457,LNM,,
162459,LPD,,
162461,LIN,,
162462,LNI,,
162466,LBC,,
162470,LEC,,
162474,LRP,LPM,
162479,LHR,,
162480,LIS,,
162482,LEF,,
162485,LNI,,
162487,LMT,,
162488,LMT,,
162490,LBN,LFP,
162493,LAR,,
162495,LNM,,
162496,LIS,,
162500,LMT,,
162501,LDS,,
162503,LPM,,
162506,LBI,,
162508,LNI,,
162509,LNI,,
162511,LRI,,
162513,LPD,,
162514,LBM,,
162517,LNA,,
162523,LBM,,
162524,LNI,,
162528,LEC,,
162534,LQI,,
162538,LHR,,
162541,LAT,,
162546,LNM,,
162552,LRT,,
162553,LRI,,
162555,LIC,,
162556,LNI,,
162557,LNI,,
162559,LIM,,
162560,LAT,,
162566,LAR,,
162567,LNI,,
162569,LIN,,
162570,LBC,,
162571,LBC,LFB,
162572,LPM,,
162574,LEC,,
162575,LNM,,
162577,LRI,,
162578,LQI,,
162584,LII,,
162586,LIC,,
162587,LAT,,
162591,LNM,LQI,
162592,LAD,,
162593,LNM,LBC,
162596,BNI,,
162601,LFA,,
162632,LCS,LII,
162637,LNI,,
162638,LFP,,
162639,LNM,LBC,
162640,LFP,,
162641,LPA,,
162642,LMK,,
162644,LIM,,
162645,LMT,,
162646,LRI,,
162649,LMT,LBM,
162654,LAR,,
162655,LAR,,
162657,LPM,,
162658,LIM,,
162659,LQI,,
162661,LPA,LPO,
162663,LFP,,
162667,LCS,LII,
162672,LPT,LRI,
162673,LNM,,
162674,LII,,
162675,LIY,,
162676,LQI,,
162678,LPA,,
162681,LEC,,
162682,LNI,,
162683,LRI,,
162684,LFP,,
162690,LPA,,
162692,LBM,,
162699,LPM,,
162700,LNM,,
162701,LRI,,
162702,LBM,,
162705,LIC,,
162706,LFA,,
162708,LIM,,
162709,LRM,,
162710,LBC,,
162714,LAD,,
162718,LBN,,
162719,LBN,,
162721,LAR,,
162723,LAT,,
162724,LBI,,
162726,LEC,,
162732,LEC,,
162734,LBI,,
162740,LPT,,
162741,LPA,,
162745,LCN,,
162747,LPA,,
162750,LIY,,
162752,LFA,,
162754,LNI,,
162755,LII,,
162756,LHR,,
162762,LQI,,
162764,LQI,,
162767,LFA,,
162774,LII,,
162776,LAD,,
162777,LBC,LFB,
